backend,pipeline,scheduler,n_pods_batch,n_nodes_or_atoms,n_shots,max_iter,pod_name,seed,pod_wall_s,batch_wall_s,n_iterations,total_qpu_wait_s,total_circuit_time_s,avg_qpu_wait_s,avg_circuit_time_s,approximation_ratio,converged,total_elapsed_s,timestamp
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-0,100,134.0,171.474,1,7.976,9.97,7.976,9.97,0.687143,False,116.994,2026-06-18T21:22:17.082525+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-1,101,153.0,171.474,1,8.408,10.889,8.408,10.889,0.639048,False,135.88,2026-06-18T21:22:17.224205+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-2,102,114.0,171.474,1,7.969,10.077,7.969,10.077,0.586667,False,97.262,2026-06-18T21:22:17.358525+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-3,103,154.0,171.474,1,8.068,9.997,8.068,9.997,0.63381,False,136.957,2026-06-18T21:22:17.493562+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-4,104,151.0,171.474,1,13.779,15.7,13.779,15.7,0.637619,False,129.029,2026-06-18T21:22:17.625784+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-5,105,149.0,171.474,1,19.611,21.69,19.611,21.69,0.699048,False,121.253,2026-06-18T21:22:17.763320+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-6,106,157.0,171.474,1,12.983,14.715,12.983,14.715,0.66619,False,135.802,2026-06-18T21:22:17.896609+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-7,107,141.0,171.474,1,25.619,27.554,25.619,27.554,0.582857,False,107.442,2026-06-18T21:22:18.028748+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-8,108,137.0,171.474,1,7.91,9.645,7.91,9.645,0.68619,False,121.835,2026-06-18T21:22:18.160479+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-9,109,113.0,171.474,1,18.658,20.898,18.658,20.898,0.595714,False,85.584,2026-06-18T21:22:18.297157+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-10,110,125.0,171.474,1,12.719,14.436,12.719,14.436,0.651905,False,104.337,2026-06-18T21:22:18.439522+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-11,111,130.0,171.474,1,8.986,20.308,8.986,20.308,0.606667,False,103.297,2026-06-18T21:22:18.574854+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-12,112,155.0,171.474,1,24.514,26.358,24.514,26.358,0.570476,False,121.773,2026-06-18T21:22:18.711542+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-13,113,146.0,171.474,1,18.561,20.395,18.561,20.395,0.66381,False,118.706,2026-06-18T21:22:18.839984+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-14,114,163.0,171.474,1,24.574,26.431,24.574,26.431,0.631905,False,129.976,2026-06-18T21:22:18.976347+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-15,115,144.0,171.474,1,30.077,39.224,30.077,39.224,0.652857,False,97.708,2026-06-18T21:22:19.110852+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-16,116,143.0,171.474,1,12.652,14.363,12.652,14.363,0.611429,False,123.544,2026-06-18T21:22:19.244771+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-17,117,146.0,171.474,1,30.112,31.755,30.112,31.755,0.551429,False,108.747,2026-06-18T21:22:19.377846+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-18,118,120.0,171.474,1,11.786,14.046,11.786,14.046,0.571429,False,100.33,2026-06-18T21:22:19.516882+00:00
dm1,gate,default,20,14,100,5,qaoa-exp-dm1-n20-q14-19,119,137.0,171.474,1,18.712,20.325,18.712,20.325,0.591429,False,110.898,2026-06-18T21:22:19.650875+00:00
