experiment,arm,policy,repeat,n_shots,group_size,realized_backend,stamped_backend,realized_cost_usd,queue_at_submit,qpu_queue_wait_s,backend_latency_s,producer_wall_s,producer_phase,timestamp
cost,baseline,random,0,100,2,iqm_garnet,iqm_garnet,0.4450,,1444.11,1447.60,1448.67,Succeeded,2026-06-30T03:16:03.540723+00:00
cost,min-cost,min-cost,0,100,2,dm1,dm1,0.0037,,1.73,3.56,3.92,Succeeded,2026-06-30T03:16:52.967311+00:00
cost,baseline,random,1,100,2,dm1,dm1,0.0037,,1.70,3.06,3.43,Succeeded,2026-06-30T03:17:42.461523+00:00
cost,min-cost,min-cost,1,100,2,dm1,dm1,0.0037,,1.65,3.35,3.67,Succeeded,2026-06-30T03:18:32.235289+00:00
cost,baseline,random,2,100,2,iqm_emerald,iqm_emerald,0.4450,,28.80,31.48,32.78,Succeeded,2026-06-30T03:19:22.062544+00:00
cost,min-cost,min-cost,2,100,2,dm1,dm1,0.0037,,1.68,3.19,3.57,Succeeded,2026-06-30T03:20:11.387374+00:00
cost,baseline,random,3,100,2,iqm_emerald,iqm_emerald,0.4450,,46.51,49.24,50.65,Succeeded,2026-06-30T03:21:16.042309+00:00
cost,min-cost,min-cost,3,100,2,dm1,dm1,0.0037,,1.76,3.54,3.90,Succeeded,2026-06-30T03:22:05.331421+00:00
cost,baseline,random,4,100,2,sv1,sv1,0.0037,,1.72,3.10,3.44,Succeeded,2026-06-30T03:22:54.870812+00:00
cost,min-cost,min-cost,4,100,2,dm1,dm1,0.0037,,1.72,2.88,3.26,Succeeded,2026-06-30T03:23:44.137420+00:00
cost,baseline,random,5,100,2,iqm_emerald,iqm_emerald,0.4450,,44.62,46.72,47.98,Succeeded,2026-06-30T03:24:48.350031+00:00
cost,min-cost,min-cost,5,100,2,dm1,dm1,0.0037,,1.66,4.00,4.39,Succeeded,2026-06-30T03:25:37.724994+00:00
cost,baseline,random,6,100,2,sv1,sv1,0.0037,,1.68,2.76,3.03,Succeeded,2026-06-30T03:26:26.909842+00:00
cost,min-cost,min-cost,6,100,2,dm1,dm1,0.0037,,1.74,2.91,3.28,Succeeded,2026-06-30T03:27:17.448847+00:00
cost,baseline,random,7,100,2,dm1,dm1,0.0037,,1.77,2.79,3.07,Succeeded,2026-06-30T03:28:06.396055+00:00
cost,min-cost,min-cost,7,100,2,dm1,dm1,0.0037,,1.82,3.68,4.02,Succeeded,2026-06-30T03:28:56.214247+00:00
cost,baseline,random,8,100,2,iqm_garnet,iqm_garnet,0.4450,,38.70,41.11,42.17,Succeeded,2026-06-30T03:30:00.418550+00:00
cost,min-cost,min-cost,8,100,2,dm1,dm1,0.0037,,1.69,3.44,3.85,Succeeded,2026-06-30T03:30:49.721260+00:00
cost,baseline,random,9,100,2,iqm_garnet,iqm_garnet,0.4450,,100.21,102.73,103.77,Succeeded,2026-06-30T03:32:55.654000+00:00
cost,min-cost,min-cost,9,100,2,dm1,dm1,0.0037,,1.81,3.24,3.57,Succeeded,2026-06-30T03:33:45.598767+00:00
